Accession,Description,POOL1,CF11,BL22,S112,S721,POOL2,CF21,BL11,S122,S712,S722,S111,BL21,CF12,POOL3,S711,S121,BL12,CF22,POOL4
tr|A0A140NBG8|A0A140NBG8_ECOBD,Uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1923 PE=4 SV=1,68063.63672000001,64852.494139999995,52725.05078,72155.62012,76827.42969,77998.27539,72514.65234,64481.17382999999,83171.87988,73074.92969,256865.2056,245086.0225,287516.1362,284248.4666,321223.4648,338971.7661,268967.9189,309206.0933,284350.2251,311736.4707
tr|A0A140NBG9|A0A140NBG9_ECOBD,Pyridoxal kinase PdxY OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=pdxY PE=3 SV=1,3424113.8439999996,4406960.5430000005,2939494.887,2853469.2810000004,2672134.549,3381495.059,5138118.385,2947929.5739999996,2899878.979,2302760.8219999997,3715583.186,4035722.162,4175259.5810000002,6953389.643999999,5213709.8719999995,5031888.282,4687439.946,4542188.325,7775236.247,5416884.972999999
tr|A0A140NBI1|A0A140NBI1_ECOBD,"Polar amino acid ABC transporter, inner membrane subunit OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2732 PE=3 SV=1",125768.1875,116909.3203,163760.3906,131202.3281,118834.0625,128236.7344,152283.4375,119254.3516,143185.7969,138870.2813,382902.8125,409525.6719,490840.3438,475731.2656,530098.375,499860.0781,386779.7266,514790.0313,466331.8438,502320.9141
tr|A0A140NBI5|A0A140NBI5_ECOBD,Tat proofreading chaperone DmsD OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=dmsD PE=3 SV=1,159654.7212,215312.14800000002,194754.0229,150117.0635,162989.0527,163914.5981,208026.5479,149488.0293,144253.3193,116943.1423,127591.4648,92264.62109,149256.8438,211726.332,173712.0312,187964.4258,124137.1797,138675.0078,194491.1289,167561.7813
tr|A0A140NBI6|A0A140NBI6_ECOBD,Hydroxyacylglutathione hydrolase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=gloB PE=3 SV=1,472149.4717,319750.4646,1009890.76,376749.5195,371859.9595,593513.8657,421627.2888,743204.707,375731.9661,446806.2,289508.5543,194511.704,716490.8365,296394.5298,489234.7305,393021.3038,379956.4928,797824.8564,319782.5,487970.0795
tr|A0A140NBI7|A0A140NBI7_ECOBD,"Transcriptional regulator, TetR family OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2027 PE=4 SV=1",1429.608154,2980.58667,1824.6696780000002,2154.544922,2315.258545,2285.59375,4004.7536619999996,4155.120605,2869.201416,1701.755127,76200.49853,92333.74121000001,122646.4199,123048.293,111022.9658,109975.6572,94766.66113,100370.5859,138319.1445,127152.8184
tr|A0A140NBI8|A0A140NBI8_ECOBD,YbaK/prolyl-tRNA synthetase associated region OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1857 PE=4 SV=1,186322.9688,284640.8438,241899.2227,86203.57813,113366.8262,193394.6914,281560.4609,330617.2305,74684.00878999999,111447.9199,245517.5361,216489.0938,471755.5703,421561.8281,435106.6465,387844.4512,267476.1826,555834.0469,484075.6797,437876.5117
tr|A0A140NBJ5|A0A140NBJ5_ECOBD,Outer membrane lipoprotein RcsF OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=rcsF PE=3 SV=1,4158950.79,4220913.322,5474856.978999999,3416385.5489999996,3603229.575,4462579.191000001,4919273.403,5088563.966,3519839.849,3169777.646,2772198.082,2203728.153,4851983.688,3830019.787,3822765.92,3242638.018,3096742.5110000004,5328598.299,4011428.561,4066689.298
tr|A0A140NBJ6|A0A140NBJ6_ECOBD,Histidine kinase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2037 PE=4 SV=1,293869.5352,375051.8984,347146.3516,257193.5098,267324.8574,314718.1895,356090.3672,306936.6836,258691.5332,248610.1563,446962.87700000004,389452.7109,569870.793,557929.334,536514.9551,628129.4746,440744.9395,475746.1289,541034.6035,561618.2109
tr|A0A140NBJ8|A0A140NBJ8_ECOBD,Ribosomal protein S6--L-glutamate ligase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=rimK PE=3 SV=1,123646.0498,166735.9277,163229.085,53266.12451,70918.0,121369.1035,176304.4746,179233.3379,52194.58545,66743.37891,44216.21875,25210.01367,132916.7031,118064.0469,88555.47656,69151.42188,36874.95703,139083.3594,115696.3594,78511.57813
tr|A0A140NBK1|A0A140NBK1_ECOBD,Histidine kinase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2601 PE=4 SV=1,159599.5,99741.17773,83107.33789,110143.6992,86466.98047000001,169810.1094,285478.2969,111042.3828,103410.2461,184928.7891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tr|A0A140NBK3|A0A140NBK3_ECOBD,Flavodoxin OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2977 PE=3 SV=1,6209689.752,6867066.397999999,7691699.0,5144615.78,5918558.734,6471761.872,6456649.75,8855767.621,4694529.718,5417822.385,3072324.909,4307079.803,4702735.102,4834766.431,4462518.685,5151408.147,3891440.166,4321738.027,4028641.3839999996,5238326.673
tr|A0A140NBK4|A0A140NBK4_ECOBD,Glyoxalase/bleomycin resistance protein/dioxygenase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_3432 PE=4 SV=1,18017.4541,22921.76172,22646.12256,9577.266968,14008.73071,21285.4773,31633.6665,28751.84814,14086.434330000002,11923.91431,64950.33435,53553.18237,145284.8633,141449.2561,124174.2063,96431.07372999999,84830.05737000001,142042.6707,169589.2676,136586.1694
tr|A0A140NBK6|A0A140NBK6_ECOBD,Protease 4 OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1878 PE=3 SV=1,2871609.3230000003,3422829.957,2998908.133,2644103.965,2609701.26,3077656.5160000003,3333316.225,2947627.703,2770700.829,2402357.476,3904314.2610000004,4053270.541,4411696.407,5220619.103999999,4739205.0139999995,4934666.725,4516840.529,4301435.594,5127893.853999999,5019369.063999999
tr|A0A140NBK8|A0A140NBK8_ECOBD,Glutathione S-transferase domain protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2785 PE=4 SV=1,1531837.7130000002,1552780.7659999998,2588114.469,914516.3901,1006929.5090000001,1542196.371,1984780.3569999998,2046457.1930000002,967145.8545,938478.334,826837.7729,675026.0164,2357764.4,1510705.5480000002,1530641.3369999998,1100260.165,975360.792,2151403.3030000003,1816765.6630000002,1586432.624
tr|A0A140NBL1|A0A140NBL1_ECOBD,"HAD-superfamily hydrolase, subfamily IIA OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2987 PE=4 SV=1",3474117.2,3788740.8789999997,3941891.942,2865921.0069999998,3023026.8510000003,3757692.2830000003,4150171.88,4619035.344,3177917.4239999996,2585682.6180000002,2379996.963,2459632.0209999997,3542481.875,3282246.834,3329976.808,3393785.262,3014369.126,3636867.953,3586657.026,3458925.8389999997
tr|A0A140NBL4|A0A140NBL4_ECOBD,Outer membrane protein assembly factor BamA OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=bamA PE=3 SV=1,32225817.17,36129692.22,37753294.51,27564288.0,26738411.95,34192931.17,39168939.97,36371160.1,29044740.38,25854322.13,29414790.18,29259316.67,43266310.37,42725828.75,40001734.48,38612506.68,36405973.05,42204555.34,44055465.44,41899402.14
tr|A0A140NBL6|A0A140NBL6_ECOBD,Molybdopterin molybdenumtransferase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2796 PE=3 SV=1,2013543.915,2056782.5,2326266.642,1600348.063,1786071.879,2255273.578,2359580.704,2774823.537,1715119.471,1607753.785,1532564.0680000002,1676168.865,2343329.219,2020314.9019999998,2121761.446,2112693.594,1767457.371,2537620.875,2142950.832,2231301.116
tr|A0A140NBM4|A0A140NBM4_ECOBD,Bifunctional uridylyltransferase/uridylyl-removing enzyme OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=glnD PE=3 SV=1,275195.7798,310610.8794,408451.0576,182964.6592,228841.35600000003,289461.2539,324514.1274,417889.584,184137.3232,196637.9905,220425.1724,154841.2969,394534.665,301594.6455,309464.959,266998.7422,242531.8936,411008.4941,308692.3496,314232.7793
tr|A0A140NBM5|A0A140NBM5_ECOBD,TonB-dependent siderophore receptor OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_3747 PE=3 SV=1,320248.5532,312830.1125,327184.3257,253460.7544,222234.7974,367485.4258,305566.2026,888833.1123,266404.8926,214690.5825,62156.33252,82936.13599,87422.29346,114068.8601,113521.2529,77511.71826000001,96137.18652,384621.4668,87605.63062000001,140579.5303
tr|A0A140NBM6|A0A140NBM6_ECOBD,Methylglyoxal synthase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=mgsA PE=3 SV=1,204748.1201,326137.4512,173511.2217,132343.8105,209619.8174,227633.74800000002,207945.4687,358708.3428,145065.9458,158910.9463,412004.74799999996,608577.8867,528703.7598,517291.5566,548305.1563,652090.6016,421571.1602,495002.9414,545607.2793,617278.3359
tr|A0A140NBM7|A0A140NBM7_ECOBD,Leucine--tRNA ligase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=leuS PE=3 SV=1,57305496.75,55755008.26,61444938.66,51316414.91,49543112.35,59470118.47,64150489.89,65960698.64,54671740.9,46585629.14,55646464.87,57809007.85,71893420.3,66408612.06,70856489.24,71599158.95,69575513.02,76608372.9,71589581.49,73773068.27
tr|A0A140NBM8|A0A140NBM8_ECOBD,Aldo/keto reductase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1996 PE=4 SV=1,1115477.42,1208991.615,1239407.752,907179.3135,931512.0361,1120467.332,1310597.84,1232082.152,948134.9688,790361.9419,276748.2188,230403.1055,507890.8516,420824.8828,431819.7422,340587.7852,371768.29299999995,525715.9531,489307.8906,437025.1328
tr|A0A140NBN0|A0A140NBN0_ECOBD,"Iron (Metal) dependent repressor, DtxR family OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2806 PE=4 SV=1",602377.1133,794764.1113,611799.2383,513220.9287,498503.1016,617821.6094,775338.2324,683268.6484,550554.1621,462317.5195,404989.3359,398558.6172,573430.7891,667205.3008,587736.0391,544589.0508,498372.3262,586183.5684,687267.3047,600674.4941
tr|A0A140NBN1|A0A140NBN1_ECOBD,Short-chain dehydrogenase/reductase SDR OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2100 PE=3 SV=1,8873454.957,9586339.298,12262173.01,7088799.725,7117247.01,9791947.965,11477877.99,11939652.53,7538693.932,6549393.688999999,8662570.21,9115055.885,17144004.45,14493071.2,14097123.42,12031497.01,10740556.13,16747842.15,15937103.67,14408425.48
tr|A0A140NBN2|A0A140NBN2_ECOBD,CI repressor OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2773 PE=4 SV=1,820611.8375,890970.9034,1075764.103,776791.3142,792240.646,898062.0034,913161.58,970850.2609999999,727448.7803,701327.4464,499420.1797,494952.2344,871684.5356,727116.5366,745853.1882,609017.5288,591930.8652,811685.6008,738222.7095,727435.5308
tr|A0A140NBN4|A0A140NBN4_ECOBD,Iron-sulfur cluster insertion protein ErpA OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=erpA PE=3 SV=1,5585742.594,6763270.0770000005,6687764.971,4973512.808999999,5137308.941000001,5835463.96,5993079.542,8415308.275,5101998.88,3970181.292,5100268.298,7163896.554,6473438.708,6207949.0879999995,6550204.007,7558690.022999999,5558268.752,5837543.826,6503080.43,6901097.783
tr|A0A140NBN5|A0A140NBN5_ECOBD,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=fabA PE=3 SV=1,11191814.42,10790304.93,12727976.48,9157729.354,9558779.241,11342161.76,13958475.94,12444950.41,9008809.482,8470588.887,13043161.73,12349033.61,19851623.31,18928097.14,17995697.88,17263529.6,15446593.02,21748506.32,20542950.82,19249459.82
tr|A0A140NBN7|A0A140NBN7_ECOBD,Tyrosine--tRNA ligase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=tyrS PE=3 SV=1,38626516.04,47229982.08,36032233.91,34407098.2,33365622.85,40882865.79,51499609.98,41520440.54,35720487.52,29643537.14,27896519.95,29823135.34,32746741.56,42002904.05,36486244.62,37006671.94,34375375.04,35587519.17,45124736.22,37787302.19
tr|A0A140NBN8|A0A140NBN8_ECOBD,Beta-lactamase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_3019 PE=3 SV=1,11605069.49,12847275.03,13751825.48,9314939.733,10244487.6,12222036.18,13424978.44,15461843.6,9496652.614,9342370.995,9633927.152999999,8917150.229,15165101.1,14265055.67,13027172.12,13455388.65,10170381.85,16100588.87,13916616.21,14253996.89
tr|A0A140NBP0|A0A140NBP0_ECOBD,"Transcriptional regulator, DeoR family OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2783 PE=4 SV=1",198967.9707,264837.0273,263401.1875,125964.2871,164377.0908,204747.5996,299505.1914,235980.5352,127519.1074,143750.2451,869824.667,233003.00199999998,538433.0977,553951.832,632196.1582,1132778.791,300749.2197,544791.0459,545386.0938,635340.4648
tr|A0A140NBP1|A0A140NBP1_ECOBD,Sugar fermentation stimulation protein A OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=sfsA PE=3 SV=1,401483.3008,535474.5859,504731.1094,398598.0508,329523.2773,439380.5469,600626.4141,453306.0625,348873.4609,329392.9805,160323.8281,148319.7852,252541.3984,281182.3242,232790.8594,209850.2188,198553.0039,267659.2461,295152.1797,243896.7695
tr|A0A140NBP4|A0A140NBP4_ECOBD,Ribosomal RNA large subunit methyltransferase F OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=rlmF PE=3 SV=1,141358.0039,131374.3877,139439.9473,83548.03125,113336.041,146529.7598,176909.1543,175310.9844,86898.45947,121127.3037,175967.7324,112240.7838,247180.1631,192514.3599,195257.2712,185976.1958,158770.7478,303321.2695,193557.0278,227680.7783
tr|A0A140NBQ0|A0A140NBQ0_ECOBD,ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2794 PE=3 SV=1,646509.3203,951390.5273,888159.3086,416220.9805,389798.9688,665153.5938,985548.4531,859028.3047,397919.8262,366519.4941,247520.8604,272784.5889,731820.0078,789982.1348,633859.4766,458181.2852,318756.1992,702647.2969,815901.4219,641695.1133
tr|A0A140NBQ1|A0A140NBQ1_ECOBD,ATP-dependent RNA helicase RhlE OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=rhlE PE=3 SV=1,3306442.6689999998,3070566.4439999997,2822790.258,3616079.53,3755265.276,3622747.981,3437652.125,3261787.0730000003,4039129.268,3384095.518,3692764.5,3672717.798,2743432.5710000005,3265368.436,3610585.445,4386028.419,4379705.98,3306682.534,3155844.275,3857923.6
tr|A0A140NBQ4|A0A140NBQ4_ECOBD,HipA N-terminal domain protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2131 PE=4 SV=1,2170676.635,2301638.155,2746744.292,1708566.9430000002,1722787.489,2251390.5919999997,2559290.546,2898529.605,1766030.0880000002,1528949.5869999998,1584937.59,1772769.0569999998,2834047.753,2085839.0869999998,2258496.1780000003,2130819.836,1889451.215,2693223.0439999998,2434812.994,2212445.6580000003
tr|A0A140NBQ5|A0A140NBQ5_ECOBD,Short-chain dehydrogenase/reductase SDR OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2026 PE=4 SV=1,364389.0482,329483.5231,481097.7048,284175.6284,314333.0721,378251.9081,411762.6846,502977.3669,303139.6514,271714.3623,329190.2888,366893.5576,715719.4956,448435.4956,538956.4805,463192.2002,385746.2422,726726.1655,557138.188,544694.7334
tr|A0A140NBQ7|A0A140NBQ7_ECOBD,"HAD-superfamily hydrolase, subfamily IA, variant 3 OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1918 PE=4 SV=1",3236977.874,3986273.962,4539494.921,2452707.149,2738791.337,3332504.309,4072758.443,4158712.439,2809266.479,2147787.944,2425791.5,2601371.0130000003,3881168.752,3360662.6969999997,3427054.912,3390066.52,2719308.209,2940947.793,4032056.914,3585267.2989999996
tr|A0A140NBR1|A0A140NBR1_ECOBD,GCN5-related N-acetyltransferase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_3780 PE=4 SV=1,221727.8828,214499.1914,271651.0391,198779.4824,205578.4375,221513.1797,242264.1602,272975.1758,211089.5449,181044.3535,47004.64063,46525.26563,52888.67188,51197.36719,61792.69531,53590.65625,57265.88281,61233.41797,47921.55078,52969.75781
tr|A0A140NBR2|A0A140NBR2_ECOBD,ErfK/YbiS/YcfS/YnhG family protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2804 PE=4 SV=1,3112571.3219999997,2958066.0510000004,3602019.0539999995,2829317.881,2802819.3030000003,3385827.8510000003,3615179.6569999997,3651208.2569999998,3086814.086,2732916.791,4641037.879,4559634.638,6155914.626,5660149.046,5841327.2,6154742.696,5577908.353999999,6335650.18,5869313.017000001,6162148.437999999
tr|A0A140NBR3|A0A140NBR3_ECOBD,Carbonic anhydrase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_3493 PE=1 SV=1,14764041.22,11937998.05,21398955.89,11493913.97,12495120.05,15699724.54,14168940.26,22801003.17,12717712.2,11240785.47,16868671.38,17667243.99,32128311.49,18365831.15,23674453.07,22457688.24,20778661.3,32915153.94,20292107.91,25093804.51
tr|A0A140NBR4|A0A140NBR4_ECOBD,Chromosome partition protein MukB OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=mukB PE=3 SV=1,10931490.44,13706365.25,13842149.84,7723650.976,9011204.761,11306067.24,12810272.25,14899984.5,7604788.641,7720662.039,8356426.996,7993963.757999999,14555402.17,13726266.89,12208812.49,11206609.05,9003330.563,14185181.92,13219167.79,12828149.08
tr|A0A140NBR8|A0A140NBR8_ECOBD,"Transcriptional regulator, XRE family OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2112 PE=4 SV=1",105518.2568,118296.4404,110841.6992,80345.65625,93309.37402,112291.5234,132154.2949,147825.584,84116.33789,88218.25098,33231.48828,26468.12598,56476.58594,54172.19922,49704.53125,46738.50781,36403.00488,62371.69141,55875.609379999994,51513.42188
tr|A0A140NBR9|A0A140NBR9_ECOBD,ABC transporter related OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2814 PE=4 SV=1,469112.0137,545202.0789,891995.2983,251320.3628,290012.7145,479041.4097,609449.0464,654602.8516,231015.6415,251916.0281,262270.6575,233730.5235,1034698.945,649010.0022,591678.8361,388296.7205,307516.1251,825343.609,695899.6498,623438.3328
tr|A0A140NBS0|A0A140NBS0_ECOBD,DNA replication terminus site-binding protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=tus PE=3 SV=1,204821.6562,236807.2969,254678.3516,149589.9277,157503.0,208974.293,262977.8438,273759.4531,150550.5391,142520.1348,165669.168,185445.1191,347756.9609,313333.5859,286731.0781,251449.91600000003,192534.4785,324015.1289,325427.4063,290304.9922
tr|A0A140NBS1|A0A140NBS1_ECOBD,50S ribosomal protein L20 OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=rplT PE=3 SV=1,43291271.38,30796884.54,47063806.29,46668546.74,45526595.61,45941584.42,48773991.14,35690182.56,45853256.8,43899660.97,50997113.68,28319113.91,50634207.0,50762835.17,55208689.78,52286429.69,59913828.8,65128192.18,56116880.74,58071491.65
tr|A0A140NBS2|A0A140NBS2_ECOBD,Endoribonuclease L-PSP OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_3790 PE=4 SV=1,13224323.04,19610031.51,19978164.8,8129733.756,10461466.84,13833228.6,15540357.75,22748778.32,8192819.367000001,7604137.239,9222239.024,11430711.99,16615014.73,16564630.7,14313086.6,13972390.41,9822760.975,13334644.72,16857417.49,14935824.99
tr|A0A140NBS3|A0A140NBS3_ECOBD,Dihydrolipoyl dehydrogenase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_3503 PE=3 SV=1,155526166.1,150636650.8,197036271.3,129465251.4,136906436.7,163254787.0,167743590.9,210969436.5,133168412.9,118400437.7,149309398.5,150526787.2,232250680.2,175681515.9,194388824.0,195906498.3,171786923.4,239081189.7,189518338.0,198881620.5
tr|A0A140NBS6|A0A140NBS6_ECOBD,Lipid A export ATP-binding/permease protein MsbA OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=msbA PE=3 SV=1,3072728.465,3419760.8,3069868.0919999997,4052992.519,3413757.4680000003,3209718.39,4691838.852,2905809.5960000004,3480878.267,2685143.0539999995,3639610.5760000004,4111004.642,4056327.393,4558041.512,3986787.31,4372050.024,4806714.646000001,3817867.3710000003,4351161.835,4259079.259
tr|A0A140NBS9|A0A140NBS9_ECOBD,UPF0307 protein YjgA OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=yjgA PE=3 SV=1,3292148.582,2859830.7830000003,3475420.898,3337332.8389999997,3246273.186,3627047.818,4261215.254,3314300.723,3456285.758,3272519.47,3486867.33,2383882.7290000003,4219560.074,3825759.3789999997,4049046.432,4041132.887,4140384.668,4757559.277,3920337.912,4228259.131
tr|A0A140NBT1|A0A140NBT1_ECOBD,Isochorismate synthase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_3061 PE=4 SV=1,41500.24805,33916.39844,37836.63672,48821.52148,56466.83594,45834.224610000005,37745.59375,30227.95898,43318.381839999995,50066.45313,61844.94275,47843.66235,78380.09582999999,69073.17773,90494.85253999999,92220.22632,88657.29858,91974.85046,74742.94397000001,87686.32886000001
tr|A0A140NBT6|A0A140NBT6_ECOBD,Major capsid protein E OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2868 PE=4 SV=1,13188.5752,13972.08325,9330.78418,9827.134765,9298.043945,14133.94336,15043.30469,17449.5979,10099.31128,9624.311157,21462.5957,18107.14111,34996.162110000005,37428.17188,47566.39844,32939.2627,27937.64355,48105.5459,38877.032230000004,38139.74512
tr|A0A140NBT8|A0A140NBT8_ECOBD,Surface antigen (D15) OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_3810 PE=4 SV=1,199092.9185,224612.8823,234713.7056,169821.7397,168725.7075,208036.0972,233096.8716,272471.9287,155357.4363,147520.7891,165969.542,211787.4902,205175.5879,293955.4668,202680.2168,215931.4453,217874.1973,203075.58399999997,267158.1191,229870.7148
tr|A0A140NBT9|A0A140NBT9_ECOBD,Cell division protein FtsA OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ftsA PE=3 SV=1,1726924.358,2050665.489,2080656.116,1205381.602,1499240.3769999999,1839819.142,1997023.814,2237693.866,1308422.789,1418212.9540000001,1011080.684,848081.5908,1637773.82,1703109.466,1465305.9619999998,1293228.67,1144163.914,1683979.1169999999,1691262.3769999999,1501827.014
tr|A0A140NBU2|A0A140NBU2_ECOBD,Peptidase M16 domain protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2145 PE=3 SV=1,57136.453610000004,55226.203610000004,62993.74121,46889.10400000001,56005.98828,60786.89257999999,59895.089360000005,68945.00878999999,61220.48632999999,52036.42285,8950.030273,10162.03613,9602.9375,12357.45313,10863.39258,13412.76367,12024.7666,13715.55957,10682.63379,13545.63184
tr|A0A140NBV0|A0A140NBV0_ECOBD,"Peptidoglycan D,D-transpeptidase FtsI OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ftsI PE=3 SV=1",1976367.936,2266350.225,2115110.2819999997,1763017.7419999999,1835054.27,2162736.955,2359639.0640000002,2189095.378,1824481.4919999999,1665677.496,1973847.813,2076207.32,2412308.4590000003,2705956.703,2451935.67,2596025.992,2200376.902,2447590.031,2656410.77,2613155.332
tr|A0A140NBV2|A0A140NBV2_ECOBD,UvrABC system protein B OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=uvrB PE=3 SV=1,941613.4434,1036437.689,1285545.764,692979.5713,779287.9492,1037255.6329999999,1107508.752,1641316.2030000002,675572.2461,647443.7109,522030.7,590175.8738,1032189.225,776980.0298,837118.355,735361.7139,610200.291,1084971.153,830763.395,861452.6729
tr|A0A140NBV9|A0A140NBV9_ECOBD,Uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2187 PE=4 SV=1,9379871.197999999,7951583.057,10116699.55,9089126.863,9921337.162999999,10016686.93,8752009.146,9411400.933,10387072.31,8943887.888,13497423.75,11412705.31,12566240.56,10157824.42,13152874.19,17193832.57,13858039.97,10946516.11,10649276.53,13507925.67
tr|A0A140NBW0|A0A140NBW0_ECOBD,"Formate dehydrogenase, alpha subunit OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2165 PE=3 SV=1",29755.66992,10339.23242,12611.11621,81479.20313,47194.26953,33410.67969,18600.11328,13029.50879,63684.71484,37130.25781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tr|A0A140NBW3|A0A140NBW3_ECOBD,Sensor protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_3092 PE=4 SV=1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98952.72461,109416.4727,238492.6563,231597.9844,178529.0078,138320.5938,133586.3398,191516.1758,228296.1992,194609.7012
tr|A0A140NBW4|A0A140NBW4_ECOBD,"Riboflavin synthase, alpha subunit OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1981 PE=4 SV=1",4672341.758,5108164.136,5114083.123,3650923.15,4135464.1410000003,5025483.602,5617108.312000001,5411171.732000001,3981616.084,3680659.27,4569155.004,4483847.121,6388636.655,6357948.017999999,6162092.34,6104768.531,5172270.75,6610916.291,7032938.828,6450205.745
tr|A0A140NBW7|A0A140NBW7_ECOBD,3-isopropylmalate dehydrogenase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=leuB PE=3 SV=1,362290.4072,417149.3301,365659.9717,257001.81399999998,310666.7461,370679.7529,483403.4238,344408.3467,322197.6416,286712.1719,179703.55399999997,136913.3298,390251.3771,256903.6846,265837.0898,233767.4131,215558.6013,255987.7939,294371.7212,280311.2524
tr|A0A140NBX3|A0A140NBX3_ECOBD,Peptidyl-dipeptidase Dcp OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2101 PE=3 SV=1,2961639.122,3096118.537,4255831.823,2223927.191,2727797.539,3790824.284,4027736.019,4223572.263,2104301.682,2132102.2369999997,2834061.35,2816187.0360000003,5411491.591,4181027.443,4416459.504,4125074.3460000004,3483783.4039999996,5389659.687999999,4746890.517,4793636.316000001
tr|A0A140NBX4|A0A140NBX4_ECOBD,Ribonuclease T OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=rnt PE=3 SV=1,1082369.778,1210209.3020000001,1203898.033,1047414.4,1078419.019,1200862.9640000002,1220901.696,1469744.1169999999,1076570.605,950209.0288,923723.3420000001,1060325.425,1159097.9109999998,1002586.564,1157259.47,1252930.761,1142695.54,1138380.231,1063313.7240000002,1258164.192
