Entry,Entry_name,Status,Protein_names,Gene_names,Organism,Length,Gene_ontology_biological_process,Gene_ontology_cellular_component,Gene_ontology_GO,Gene_ontology_molecular_function,Gene_ontology_IDs,EC_number,Intramembrane,Subcellular_location_CC,Topological_domain,Transmembrane
A0A140N820,A0A140N820_ECOBD,unreviewed,Sensor histidine kinase RcsC (EC 2.7.13.3),rcsC ECBD_1441,Escherichia coli (strain B / BL21-DE3),949,"protein autophosphorylation [GO:0046777]; regulation of transcription, DNA-templated [GO:0006355]",integral component of plasma membrane [GO:0005887],"integral component of plasma membrane [GO:0005887]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; protein autophosphorylation [GO:0046777]; regulation of transcription, DNA-templated [GO:0006355]",ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155],GO:0000155; GO:0005524; GO:0005887; GO:0006355; GO:0046777,2.7.13.3,,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_00979}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_00979}.,,TRANSMEM 314 334 Helical. {ECO:0000256|HAMAP-Rule:MF_00979}.
A0A140NH36,A0A140NH36_ECOBD,unreviewed,Bifunctional ligase/repressor BirA (Biotin operon repressor) (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase),birA ECBD_4055,Escherichia coli (strain B / BL21-DE3),321,"protein biotinylation [GO:0009305]; regulation of transcription, DNA-templated [GO:0006355]",,"ATP binding [GO:0005524]; biotin-[acetyl-CoA-carboxylase] ligase activity [GO:0004077]; DNA binding [GO:0003677]; protein biotinylation [GO:0009305]; regulation of transcription, DNA-templated [GO:0006355]",ATP binding [GO:0005524]; biotin-[acetyl-CoA-carboxylase] ligase activity [GO:0004077]; DNA binding [GO:0003677],GO:0003677; GO:0004077; GO:0005524; GO:0006355; GO:0009305,6.3.4.15,,,,
A0A140N8K4,A0A140N8K4_ECOBD,unreviewed,Carbamoyltransferase HypF (EC 6.2.-.-),ECBD_1013,Escherichia coli (strain B / BL21-DE3),750,protein carbamoylation [GO:0046944],,acylphosphatase activity [GO:0003998]; carboxyl- or carbamoyltransferase activity [GO:0016743]; double-stranded RNA binding [GO:0003725]; zinc ion binding [GO:0008270]; protein carbamoylation [GO:0046944],acylphosphatase activity [GO:0003998]; carboxyl- or carbamoyltransferase activity [GO:0016743]; double-stranded RNA binding [GO:0003725]; zinc ion binding [GO:0008270],GO:0003725; GO:0003998; GO:0008270; GO:0016743; GO:0046944,6.2.-.-,,,,
A0A140N9E8,A0A140N9E8_ECOBD,unreviewed,Endopeptidase La (EC 3.4.21.53),ECBD_2640,Escherichia coli (strain B / BL21-DE3),586,protein catabolic process [GO:0030163],,ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; serine-type endopeptidase activity [GO:0004252]; protein catabolic process [GO:0030163],ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; serine-type endopeptidase activity [GO:0004252],GO:0004176; GO:0004252; GO:0005524; GO:0030163,3.4.21.53,,,,
A0A140N9L2,A0A140N9L2_ECOBD,unreviewed,Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6) (L/F-transferase) (Leucyltransferase) (Phenyalanyltransferase),aat ECBD_2710,Escherichia coli (strain B / BL21-DE3),234,protein catabolic process [GO:0030163],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; leucyltransferase activity [GO:0008914]; protein catabolic process [GO:0030163],leucyltransferase activity [GO:0008914],GO:0005737; GO:0008914; GO:0030163,2.3.2.6,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00688, ECO:0000256|SAAS:SAAS00088483}.",,
A0A140NDX9,A0A140NDX9_ECOBD,unreviewed,ATP-dependent Clp protease adapter protein ClpS,clpS ECBD_2713,Escherichia coli (strain B / BL21-DE3),106,protein catabolic process [GO:0030163],,peptidase activity [GO:0008233]; protein catabolic process [GO:0030163],peptidase activity [GO:0008233],GO:0008233; GO:0030163,,,,,
A0A140N5L3,A0A140N5L3_ECOBD,unreviewed,ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-),ftsH ECBD_0564,Escherichia coli (strain B / BL21-DE3),647,protein catabolic process [GO:0030163],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; protein catabolic process [GO:0030163],ATPase activity [GO:0016887]; ATP binding [GO:0005524]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270],GO:0004222; GO:0005524; GO:0005886; GO:0008270; GO:0016021; GO:0016887; GO:0030163,3.4.24.-,,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_01458}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_01458}; Cytoplasmic side {ECO:0000256|HAMAP-Rule:MF_01458}.,,TRANSMEM 101 122 Helical. {ECO:0000256|HAMAP-Rule:MF_01458}.
A0A140NAH3,A0A140NAH3_ECOBD,unreviewed,Chaperone protein TorD,torD ECBD_2596,Escherichia coli (strain B / BL21-DE3),199,protein complex oligomerization [GO:0051259]; protein folding [GO:0006457],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457],,GO:0005737; GO:0006457; GO:0051259,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01150, ECO:0000256|SAAS:SAAS00423032}.",,
A0A140N7M2,A0A140N7M2_ECOBD,unreviewed,Co-chaperone protein HscB (Hsc20),hscB ECBD_1157,Escherichia coli (strain B / BL21-DE3),171,protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; protein maturation by iron-sulfur cluster transfer [GO:0097428],,ATPase activator activity [GO:0001671]; chaperone binding [GO:0051087]; protein complex oligomerization [GO:0051259]; protein folding [GO:0006457]; protein maturation by iron-sulfur cluster transfer [GO:0097428],ATPase activator activity [GO:0001671]; chaperone binding [GO:0051087],GO:0001671; GO:0006457; GO:0051087; GO:0051259; GO:0097428,,,,,
A0A140N6P1,A0A140N6P1_ECOBD,unreviewed,"Phosphoenolpyruvate synthase regulatory protein (PEP synthase regulatory protein) (PSRP) (EC 2.7.11.33) (EC 2.7.4.28) (Pyruvate, water dikinase regulatory protein)",ppsR ECBD_1942,Escherichia coli (strain B / BL21-DE3),277,protein dephosphorylation [GO:0006470],,"ADP binding [GO:0043531]; ATP binding [GO:0005524]; phosphotransferase activity, phosphate group as acceptor [GO:0016776]; protein serine/threonine kinase activity [GO:0004674]; protein dephosphorylation [GO:0006470]","ADP binding [GO:0043531]; ATP binding [GO:0005524]; phosphotransferase activity, phosphate group as acceptor [GO:0016776]; protein serine/threonine kinase activity [GO:0004674]",GO:0004674; GO:0005524; GO:0006470; GO:0016776; GO:0043531,2.7.11.33; 2.7.4.28,,,,
A0A140N5C7,A0A140N5C7_ECOBD,unreviewed,FAD:protein FMN transferase (EC 2.7.1.180) (Flavin transferase),ECBD_1445,Escherichia coli (strain B / BL21-DE3),351,protein flavinylation [GO:0017013],plasma membrane [GO:0005886],plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; transferase activity [GO:0016740]; protein flavinylation [GO:0017013],metal ion binding [GO:0046872]; transferase activity [GO:0016740],GO:0005886; GO:0016740; GO:0017013; GO:0046872,2.7.1.180,,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|RuleBase:RU363002}.,,
A0A140N5I0,A0A140N5I0_ECOBD,unreviewed,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),ECBD_0402,Escherichia coli (strain B / BL21-DE3),270,protein folding [GO:0006457],,peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457],peptidyl-prolyl cis-trans isomerase activity [GO:0003755],GO:0003755; GO:0006457,5.2.1.8,,,,
A0A140NGG2,A0A140NGG2_ECOBD,unreviewed,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8),ECBD_3822,Escherichia coli (strain B / BL21-DE3),206,protein folding [GO:0006457],,peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457],peptidyl-prolyl cis-trans isomerase activity [GO:0003755],GO:0003755; GO:0006457,5.2.1.8,,,,
A0A140NEQ0,A0A140NEQ0_ECOBD,unreviewed,ATP-dependent Clp protease ATP-binding subunit ClpX,clpX ECBD_3219,Escherichia coli (strain B / BL21-DE3),424,protein folding [GO:0006457],,ATP binding [GO:0005524]; peptidase activity [GO:0008233]; protein dimerization activity [GO:0046983]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270]; protein folding [GO:0006457],ATP binding [GO:0005524]; peptidase activity [GO:0008233]; protein dimerization activity [GO:0046983]; unfolded protein binding [GO:0051082]; zinc ion binding [GO:0008270],GO:0005524; GO:0006457; GO:0008233; GO:0008270; GO:0046983; GO:0051082,,,,,
A0A140NEN6,A0A140NEN6_ECOBD,unreviewed,10 kDa chaperonin (GroES protein) (Protein Cpn10),groS groES ECBD_3889,Escherichia coli (strain B / BL21-DE3),97,protein folding [GO:0006457],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; ATP binding [GO:0005524]; protein folding [GO:0006457],ATP binding [GO:0005524],GO:0005524; GO:0005737; GO:0006457,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00580, ECO:0000256|SAAS:SAAS00735165}.",,
A0A140ND10,A0A140ND10_ECOBD,unreviewed,Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8),ECBD_3133,Escherichia coli (strain B / BL21-DE3),164,protein folding [GO:0006457],,peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457],peptidyl-prolyl cis-trans isomerase activity [GO:0003755],GO:0003755; GO:0006457,5.2.1.8,,,,
A0A140N2J1,A0A140N2J1_ECOBD,unreviewed,33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33),hslO ECBD_0345,Escherichia coli (strain B / BL21-DE3),292,protein folding [GO:0006457],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457],unfolded protein binding [GO:0051082],GO:0005737; GO:0006457; GO:0051082,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00117, ECO:0000256|SAAS:SAAS01084524}.",,
A0A140NB18,A0A140NB18_ECOBD,unreviewed,Curved DNA-binding protein,cbpA ECBD_2594,Escherichia coli (strain B / BL21-DE3),306,protein folding [GO:0006457],cytoplasm [GO:0005737]; nucleoid [GO:0009295],cytoplasm [GO:0005737]; nucleoid [GO:0009295]; bent DNA binding [GO:0003681]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457],bent DNA binding [GO:0003681]; unfolded protein binding [GO:0051082],GO:0003681; GO:0005737; GO:0006457; GO:0009295; GO:0051082,,,"SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000256|HAMAP-Rule:MF_01154, ECO:0000256|SAAS:SAAS00724452}.",,
A0A140N8S5,A0A140N8S5_ECOBD,unreviewed,Protein GrpE (HSP-70 cofactor),grpE ECBD_1073,Escherichia coli (strain B / BL21-DE3),197,protein folding [GO:0006457],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; adenyl-nucleotide exchange factor activity [GO:0000774]; chaperone binding [GO:0051087]; protein homodimerization activity [GO:0042803]; protein folding [GO:0006457],adenyl-nucleotide exchange factor activity [GO:0000774]; chaperone binding [GO:0051087]; protein homodimerization activity [GO:0042803],GO:0000774; GO:0005737; GO:0006457; GO:0042803; GO:0051087,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01151, ECO:0000256|SAAS:SAAS00067044}.",,
A0A140N4Y2,A0A140N4Y2_ECOBD,unreviewed,Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8),ECBD_0385,Escherichia coli (strain B / BL21-DE3),190,protein folding [GO:0006457],,peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457],peptidyl-prolyl cis-trans isomerase activity [GO:0003755],GO:0003755; GO:0006457,5.2.1.8,,,,
A0A140NB43,A0A140NB43_ECOBD,unreviewed,Disulfide bond formation protein B (Disulfide oxidoreductase),dsbB ECBD_2437,Escherichia coli (strain B / BL21-DE3),176,protein folding [GO:0006457],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; protein disulfide oxidoreductase activity [GO:0015035]; protein folding [GO:0006457],electron transfer activity [GO:0009055]; protein disulfide oxidoreductase activity [GO:0015035],GO:0005886; GO:0006457; GO:0009055; GO:0015035; GO:0016021,,,"SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_00286, ECO:0000256|SAAS:SAAS00726109}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_00286, ECO:0000256|SAAS:SAAS00726109}.",TOPO_DOM 1 14 Cytoplasmic. {ECO:0000256|HAMAP-Rule:MF_00286}.; TOPO_DOM 32 49 Periplasmic. {ECO:0000256|HAMAP-Rule:MF_00286}.; TOPO_DOM 66 71 Cytoplasmic. {ECO:0000256|HAMAP-Rule:MF_00286}.; TOPO_DOM 90 144 Periplasmic. {ECO:0000256|HAMAP-Rule:MF_00286}.; TOPO_DOM 164 176 Cytoplasmic. {ECO:0000256|HAMAP-Rule:MF_00286}.,TRANSMEM 12 33 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 45 64 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 71 89 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 145 166 Helical. {ECO:0000256|SAM:Phobius}.
A0A140ND61,A0A140ND61_ECOBD,unreviewed,Chaperone protein HtpG (Heat shock protein HtpG) (High temperature protein G),htpG ECBD_3183,Escherichia coli (strain B / BL21-DE3),624,protein folding [GO:0006457],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457],ATP binding [GO:0005524]; unfolded protein binding [GO:0051082],GO:0005524; GO:0005737; GO:0006457; GO:0051082,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00505}.,,
A0A140NFV3,A0A140NFV3_ECOBD,unreviewed,Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70),dnaK ECBD_3605,Escherichia coli (strain B / BL21-DE3),638,protein folding [GO:0006457],,ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457],ATP binding [GO:0005524]; unfolded protein binding [GO:0051082],GO:0005524; GO:0006457; GO:0051082,,,,,
A0A140N4G2,A0A140N4G2_ECOBD,unreviewed,Protein-export protein SecB,secB ECBD_0116,Escherichia coli (strain B / BL21-DE3),155,protein folding [GO:0006457]; protein tetramerization [GO:0051262]; protein transport [GO:0015031],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; protein tetramerization [GO:0051262]; protein transport [GO:0015031],unfolded protein binding [GO:0051082],GO:0005737; GO:0006457; GO:0015031; GO:0051082; GO:0051262,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00821, ECO:0000256|SAAS:SAAS00387662}.",,
A0A140NFG5,A0A140NFG5_ECOBD,unreviewed,Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M),map ECBD_3451,Escherichia coli (strain B / BL21-DE3),264,protein initiator methionine removal [GO:0070084],,metal ion binding [GO:0046872]; metalloaminopeptidase activity [GO:0070006]; protein initiator methionine removal [GO:0070084],metal ion binding [GO:0046872]; metalloaminopeptidase activity [GO:0070006],GO:0046872; GO:0070006; GO:0070084,3.4.11.18,,,,
A0A140NG27,A0A140NG27_ECOBD,unreviewed,Lipoate-protein ligase A (EC 6.3.1.20) (Lipoate--protein ligase),lplA ECBD_3634,Escherichia coli (strain B / BL21-DE3),338,protein lipoylation [GO:0009249],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; ATP binding [GO:0005524]; lipoate-protein ligase activity [GO:0016979]; protein lipoylation [GO:0009249],ATP binding [GO:0005524]; lipoate-protein ligase activity [GO:0016979],GO:0005524; GO:0005737; GO:0009249; GO:0016979,6.3.1.20,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01602, ECO:0000256|SAAS:SAAS00894009}.",,
A0A140NED7,A0A140NED7_ECOBD,unreviewed,Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase),lipB ECBD_3021,Escherichia coli (strain B / BL21-DE3),213,protein lipoylation [GO:0009249],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; lipoyl(octanoyl) transferase activity [GO:0033819]; octanoyl transferase activity (acting on glycine-cleavage complex H protein) [GO:0102555]; protein lipoylation [GO:0009249],lipoyl(octanoyl) transferase activity [GO:0033819]; octanoyl transferase activity (acting on glycine-cleavage complex H protein) [GO:0102555],GO:0005737; GO:0009249; GO:0033819; GO:0102555,2.3.1.181,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00013, ECO:0000256|SAAS:SAAS00848401}.",,
A0A140NAF9,A0A140NAF9_ECOBD,unreviewed,Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA),lipA ECBD_3023,Escherichia coli (strain B / BL21-DE3),321,protein lipoylation [GO:0009249],cytoplasm [GO:0005737],"cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; metal ion binding [GO:0046872]; protein lipoylation [GO:0009249]","4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; metal ion binding [GO:0046872]",GO:0005737; GO:0009249; GO:0016992; GO:0046872; GO:0051539,2.8.1.8,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00206, ECO:0000256|SAAS:SAAS01101439}.",,
A0A140N6U4,A0A140N6U4_ECOBD,unreviewed,Hydrogenase accessory protein HypB,ECBD_0998,Escherichia coli (strain B / BL21-DE3),290,protein maturation [GO:0051604],,GTP binding [GO:0005525]; GTPase activity [GO:0003924]; nickel cation binding [GO:0016151]; protein maturation [GO:0051604],GTPase activity [GO:0003924]; GTP binding [GO:0005525]; nickel cation binding [GO:0016151],GO:0003924; GO:0005525; GO:0016151; GO:0051604,,,,,
A0A140N6A5,A0A140N6A5_ECOBD,unreviewed,Chaperone protein ClpB,clpB ECBD_1092,Escherichia coli (strain B / BL21-DE3),857,protein metabolic process [GO:0019538]; protein refolding [GO:0042026]; response to heat [GO:0009408],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; ATP binding [GO:0005524]; protein metabolic process [GO:0019538]; protein refolding [GO:0042026]; response to heat [GO:0009408],ATP binding [GO:0005524],GO:0005524; GO:0005737; GO:0009408; GO:0019538; GO:0042026,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|RuleBase:RU362034, ECO:0000256|SAAS:SAAS00738470}.",,
A0A140N643,A0A140N643_ECOBD,unreviewed,Hydrogenase expression/formation protein,ECBD_0745,Escherichia coli (strain B / BL21-DE3),164,protein processing [GO:0016485],,enzyme activator activity [GO:0008047]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; protein processing [GO:0016485],enzyme activator activity [GO:0008047]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233],GO:0008047; GO:0008233; GO:0016485; GO:0046872,,,,,
A0A140N9D0,A0A140N9D0_ECOBD,unreviewed,Hydrogenase expression/formation protein,ECBD_2620,Escherichia coli (strain B / BL21-DE3),195,protein processing [GO:0016485],,enzyme activator activity [GO:0008047]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; protein processing [GO:0016485],enzyme activator activity [GO:0008047]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233],GO:0008047; GO:0008233; GO:0016485; GO:0046872,,,,,
A0A140NH65,A0A140NH65_ECOBD,unreviewed,60 kDa chaperonin (GroEL protein) (Protein Cpn60),groL groEL ECBD_3888,Escherichia coli (strain B / BL21-DE3),548,protein refolding [GO:0042026],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026],ATP binding [GO:0005524]; unfolded protein binding [GO:0051082],GO:0005524; GO:0005737; GO:0042026; GO:0051082,,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00600}.,,
A0A140N7Y0,A0A140N7Y0_ECOBD,unreviewed,Putative sulfite oxidase subunit YedZ,ECBD_1675,Escherichia coli (strain B / BL21-DE3),101,protein repair [GO:0030091],integral component of plasma membrane [GO:0005887],integral component of plasma membrane [GO:0005887]; protein repair [GO:0030091],,GO:0005887; GO:0030091,,,,,TRANSMEM 9 30 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 50 68 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 80 98 Helical. {ECO:0000256|SAM:Phobius}.
A0A140N472,A0A140N472_ECOBD,unreviewed,Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase) (PIMT),pcm ECBD_0981,Escherichia coli (strain B / BL21-DE3),208,protein repair [GO:0030091],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; protein-L-isoaspartate (D-aspartate) O-methyltransferase activity [GO:0004719]; protein repair [GO:0030091],protein-L-isoaspartate (D-aspartate) O-methyltransferase activity [GO:0004719],GO:0004719; GO:0005737; GO:0030091,2.1.1.77,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00090}.,,
A0A140NBU6,A0A140NBU6_ECOBD,unreviewed,Iron-sulfur cluster repair protein YtfE,ytfE ECBD_3820,Escherichia coli (strain B / BL21-DE3),220,protein repair [GO:0030091]; response to nitrosative stress [GO:0051409]; response to oxidative stress [GO:0006979],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; protein repair [GO:0030091]; response to nitrosative stress [GO:0051409]; response to oxidative stress [GO:0006979],metal ion binding [GO:0046872],GO:0005737; GO:0006979; GO:0030091; GO:0046872; GO:0051409,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01606, ECO:0000256|SAAS:SAAS00960641}.",,
A0A140N9J5,A0A140N9J5_ECOBD,unreviewed,Peptide methionine sulfoxide reductase MsrB (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase),msrB ECBD_1866,Escherichia coli (strain B / BL21-DE3),137,protein repair [GO:0030091]; response to oxidative stress [GO:0006979],,peptide-methionine (R)-S-oxide reductase activity [GO:0033743]; zinc ion binding [GO:0008270]; protein repair [GO:0030091]; response to oxidative stress [GO:0006979],peptide-methionine (R)-S-oxide reductase activity [GO:0033743]; zinc ion binding [GO:0008270],GO:0006979; GO:0008270; GO:0030091; GO:0033743,1.8.4.12,,,,
A0A140N4I1,A0A140N4I1_ECOBD,unreviewed,General secretion pathway M protein,ECBD_0417,Escherichia coli (strain B / BL21-DE3),153,protein secretion [GO:0009306],integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; protein secretion [GO:0009306],,GO:0009306; GO:0016021,,,,,TRANSMEM 16 34 Helical. {ECO:0000256|SAM:Phobius}.
A0A140N2R3,A0A140N2R3_ECOBD,unreviewed,Type II and III secretion system protein,ECBD_0426,Escherichia coli (strain B / BL21-DE3),338,protein secretion [GO:0009306],cell outer membrane [GO:0009279],cell outer membrane [GO:0009279]; protein secretion [GO:0009306],,GO:0009279; GO:0009306,,,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|RuleBase:RU004004}.,,
A0A140N347,A0A140N347_ECOBD,unreviewed,Protein-export membrane protein SecG,ECBD_0567,Escherichia coli (strain B / BL21-DE3),110,protein secretion [GO:0009306],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; P-P-bond-hydrolysis-driven protein transmembrane transporter activity [GO:0015450]; protein secretion [GO:0009306],P-P-bond-hydrolysis-driven protein transmembrane transporter activity [GO:0015450],GO:0005886; GO:0009306; GO:0015450; GO:0016021,,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU365087}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU365087}.,,TRANSMEM 51 70 Helical. {ECO:0000256|RuleBase:RU365087}.
A0A140NBH1,A0A140NBH1_ECOBD,unreviewed,Type III secretion FHIPEP protein,ECBD_3392,Escherichia coli (strain B / BL21-DE3),579,protein secretion [GO:0009306],integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; protein secretion [GO:0009306],,GO:0009306; GO:0016021,,,,,TRANSMEM 86 106 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 127 148 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 168 199 Helical. {ECO:0000256|SAM:Phobius}.
A0A140N7Y3,A0A140N7Y3_ECOBD,unreviewed,Putative type II secretion system M-type protein (Putative T2SS M-type protein) (Putative extracytoplasmic function protein) (Putative general secretion pathway M-type protein),ECBD_0770,Escherichia coli (strain B / BL21-DE3),178,protein secretion [GO:0009306],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protein secretion [GO:0009306],,GO:0005886; GO:0009306; GO:0016021,,,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|PIRNR:PIRNR006291}.,,TRANSMEM 38 57 Helical. {ECO:0000256|SAM:Phobius}.
A0A140N7D5,A0A140N7D5_ECOBD,unreviewed,Type II secretion system protein K,ECBD_0419,Escherichia coli (strain B / BL21-DE3),327,protein secretion [GO:0009306],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protein secretion [GO:0009306],,GO:0005886; GO:0009306; GO:0016021,,,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|PIRNR:PIRNR002786}.,,
A0A140N4C2,A0A140N4C2_ECOBD,unreviewed,Type IV pilus secretin PilQ,ECBD_0356,Escherichia coli (strain B / BL21-DE3),412,protein secretion [GO:0009306],cell outer membrane [GO:0009279],cell outer membrane [GO:0009279]; protein secretion [GO:0009306],,GO:0009279; GO:0009306,,,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|RuleBase:RU004004}.,,
A0A140NEF1,A0A140NEF1_ECOBD,unreviewed,Uncharacterized protein,ECBD_3809,Escherichia coli (strain B / BL21-DE3),1259,protein secretion [GO:0009306],integral component of plasma membrane [GO:0005887]; TAM protein secretion complex [GO:0097347],integral component of plasma membrane [GO:0005887]; TAM protein secretion complex [GO:0097347]; protein secretion [GO:0009306],,GO:0005887; GO:0009306; GO:0097347,,,,,
